seed,n,patch,coupling,severity,scope,scope_size,solver,solution,cost,gap,evals,runtime_s,p_opt,depth,shots,amp_ops,boundary_ratio,noise_lambda,scope_recall
1,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,25391,1.405877122828039,0.0,89,0.0026340410113334656,0.4726955062260851,2,256,5696,0.19780876541453746,0.0,0.75
1,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,25391,1.405877122828039,0.0,89,0.0025251249317079782,0.4726955062260851,2,1024,5696,0.19780876541453746,0.0,0.75
1,16,4,0.55,0.65,inferred-noise,4,QAOA,25391,1.405877122828039,0.0,89,0.001571665983647108,0.42503165369400586,1,256,5696,0.19780876541453746,0.1,0.75
1,16,4,0.55,0.65,inferred-noise,4,QAOA,25391,1.405877122828039,0.0,89,0.0015736659988760948,0.3646097114116716,1,256,5696,0.19780876541453746,0.25,0.75
1,16,4,0.55,0.65,inferred-noise,4,QAOA,25391,1.405877122828039,0.0,89,0.0015591250266879797,0.2639064742744477,1,256,5696,0.19780876541453746,0.5,0.75
2,16,4,0.55,0.65,full,16,deployed,36298,4.023032323222198,0.9342584366965199,0,0.0,,0,0,0,0.10039345149928351,0.0,1.0
2,16,4,0.55,0.65,full,16,exact enumeration,29237,1.5968775567555138,0.0,65536,0.0,,0,0,68719476736,0.10039345149928351,0.0,1.0
2,16,4,0.55,0.65,full,16,MILP,29237,1.5968775567555138,0.0,0,0.013383000041358173,,0,0,0,0.10039345149928351,0.0,1.0
2,16,4,0.55,0.65,full,16,annealing,36298,4.023032323222198,0.9342584366965199,89,8.150003850460052e-05,,0,0,93323264,0.10039345149928351,0.0,1.0
2,16,4,0.55,0.65,full,16,QAOA,29237,1.5968775567555138,0.0,89,0.22832679201383144,0.0011672525595424084,1,256,93323264,0.10039345149928351,0.0,1.0
2,16,4,0.55,0.65,true,4,exact LNS,36298,4.023032323222198,0.9342584366965199,16,1.416075974702835e-06,,0,0,1024,0.10039345149928351,0.0,1.0
2,16,4,0.55,0.65,true,4,annealing,36298,4.023032323222198,0.9342584366965199,89,7.733399979770184e-05,,0,0,5696,0.10039345149928351,0.0,1.0
2,16,4,0.55,0.65,true,4,QAOA,36298,4.023032323222198,0.9342584366965199,89,0.0016594580374658108,0.6813729688868974,1,256,5696,0.10039345149928351,0.0,1.0
2,16,4,0.55,0.65,inferred,4,exact LNS,36298,4.023032323222198,0.9342584366965199,16,1.0409858077764511e-06,,0,0,1024,0.10039345149928351,0.0,0.25
2,16,4,0.55,0.65,inferred,4,annealing,36298,4.023032323222198,0.9342584366965199,89,7.00000673532486e-05,,0,0,5696,0.10039345149928351,0.0,0.25
2,16,4,0.55,0.65,inferred,4,QAOA,36298,4.023032323222198,0.9342584366965199,89,0.0016060000052675605,0.2493747263029615,1,256,5696,0.10039345149928351,0.0,0.25
2,16,4,0.55,0.65,wrong,4,exact LNS,36298,4.023032323222198,0.9342584366965199,16,9.170034900307655e-07,,0,0,1024,0.10039345149928351,0.0,0.5
2,16,4,0.55,0.65,wrong,4,annealing,36298,4.023032323222198,0.9342584366965199,89,7.129192817956209e-05,,0,0,5696,0.10039345149928351,0.0,0.5
2,16,4,0.55,0.65,wrong,4,QAOA,36298,4.023032323222198,0.9342584366965199,89,0.0016507500549778342,0.743022554690313,1,256,5696,0.10039345149928351,0.0,0.5
2,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,36298,4.023032323222198,0.9342584366965199,89,0.0015839999541640282,0.2493747263029615,1,64,5696,0.10039345149928351,0.0,0.25
