n,seed,event,changed,scope,scope_fraction,runtime_ms,edges
1000,12,0,4,25,0.025,0.002042,2988
1000,12,1,4,31,0.031,0.001834,2988
1000,12,2,4,23,0.023,0.001666,2988
1000,12,3,4,28,0.028,0.001584,2988
1000,12,4,4,31,0.031,0.001708,2988
1000,12,5,4,24,0.024,0.001542,2988
1000,12,6,4,26,0.026,0.0015,2988
1000,12,7,4,25,0.025,0.001584,2988
1000,12,8,4,25,0.025,0.001459,2988
1000,12,9,4,31,0.031,0.00175,2988
1000,13,0,4,24,0.024,0.002,2994
1000,13,1,4,29,0.029,0.004167,2994
1000,13,2,4,27,0.027,0.002291,2994
1000,13,3,4,24,0.024,0.002041,2994
1000,13,4,4,26,0.026,0.00175,2994
1000,13,5,4,22,0.022,0.001667,2994
1000,13,6,4,29,0.029,0.001917,2994
1000,13,7,4,28,0.028,0.001791,2994
1000,13,8,4,28,0.028,0.001709,2994
1000,13,9,4,25,0.025,0.001667,2994
1000,14,0,4,28,0.028,0.002125,2996
1000,14,1,4,28,0.028,0.001791,2996
1000,14,2,4,30,0.03,0.00175,2996
1000,14,3,4,25,0.025,0.001833,2996
1000,14,4,4,26,0.026,0.0015,2996
1000,14,5,4,22,0.022,0.0015,2996
1000,14,6,4,30,0.03,0.0015,2996
1000,14,7,4,30,0.03,0.001542,2996
1000,14,8,4,21,0.021,0.001458,2996
1000,14,9,4,23,0.023,0.001542,2996
1000,15,0,4,27,0.027,0.002,2990
1000,15,1,4,26,0.026,0.00175,2990
1000,15,2,4,27,0.027,0.001708,2990
1000,15,3,4,29,0.029,0.00175,2990
1000,15,4,4,25,0.025,0.001625,2990
1000,15,5,4,30,0.03,0.001583,2990
1000,15,6,4,30,0.03,0.010042,2990
1000,15,7,4,29,0.029,0.001625,2990
1000,15,8,4,27,0.027,0.001708,2990
1000,15,9,4,31,0.031,0.001708,2990
1000,16,0,4,27,0.027,0.001875,2987
1000,16,1,4,26,0.026,0.00175,2987
1000,16,2,4,24,0.024,0.001584,2987
1000,16,3,4,27,0.027,0.001625,2987
1000,16,4,4,31,0.031,0.00175,2987
1000,16,5,4,29,0.029,0.001708,2987
1000,16,6,4,24,0.024,0.001708,2987
1000,16,7,4,26,0.026,0.001542,2987
1000,16,8,4,33,0.033,0.001958,2987
1000,16,9,4,29,0.029,0.001667,2987
1000,17,0,4,31,0.031,0.001958,2991
1000,17,1,4,30,0.03,0.002,2991
1000,17,2,4,33,0.033,0.00175,2991
1000,17,3,4,27,0.027,0.00175,2991
1000,17,4,4,27,0.027,0.001667,2991
1000,17,5,4,33,0.033,0.001667,2991
1000,17,6,4,28,0.028,0.001625,2991
1000,17,7,4,26,0.026,0.001625,2991
1000,17,8,4,24,0.024,0.0015,2991
1000,17,9,4,29,0.029,0.001583,2991
1000,18,0,4,28,0.028,0.001917,2986
1000,18,1,4,28,0.028,0.001833,2986
1000,18,2,4,28,0.028,0.001708,2986
1000,18,3,4,27,0.027,0.001666,2986
1000,18,4,4,27,0.027,0.001666,2986
1000,18,5,4,27,0.027,0.001709,2986
1000,18,6,4,29,0.029,0.00175,2986
1000,18,7,4,25,0.025,0.001583,2986
1000,18,8,4,23,0.023,0.001584,2986
1000,18,9,4,24,0.024,0.001583,2986
1000,19,0,4,27,0.027,0.001833,2996
