n,seed,event,changed,scope,scope_fraction,runtime_ms,edges
10000,18,6,10,78,0.0078,0.004917,29992
10000,18,7,10,73,0.0073,0.003875,29992
10000,18,8,10,68,0.0068,0.003541,29992
10000,18,9,10,69,0.0069,0.003334,29992
10000,19,0,10,73,0.0073,0.006,29989
10000,19,1,10,67,0.0067,0.004125,29989
10000,19,2,10,69,0.0069,0.003708,29989
10000,19,3,10,68,0.0068,0.003625,29989
10000,19,4,10,69,0.0069,0.0035,29989
10000,19,5,10,70,0.007,0.003583,29989
10000,19,6,10,66,0.0066,0.003625,29989
10000,19,7,10,67,0.0067,0.00325,29989
10000,19,8,10,69,0.0069,0.003542,29989
10000,19,9,10,72,0.0072,0.003583,29989
