dataset,seed,method,accuracy,brier,ece,public_size,private_size,public_fraction,test_size,clients,noniid,noise_lambda,shots,rounds,bytes,inference_models,membership_auc,membership_null_auc,inference_ms,parameter_bytes,min_client_contribution,mean_client_contribution
cancer,5,FedMD-2r,0.948905109489051,0.10353008565650328,0.24055110425684798,137,295,0.24,137,3,severe,0.55,64,2,6576,3,0.6403257461651622,0.5026542800265428,0.412666,264,-0.03649635036496357,0.03649635036496346
cancer,5,FedMD,0.9562043795620438,0.09649833406972701,0.23707707233397016,137,295,0.24,137,3,severe,0.55,64,3,9864,3,0.6403257461651622,0.5026542800265428,0.4145,264,-0.03649635036496357,0.03649635036496346
cancer,5,centralized reference,0.9635036496350365,0.030961591259051346,0.06419734121125978,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6403257461651622,0.5026542800265428,0.004958,56,-0.03649635036496357,0.03649635036496346
cancer,6,best local,0.8759124087591241,0.09861042887581105,0.09599817075353728,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.5835202915494886,0.5102715420755045,0.205709,104,0.04379562043795615,0.09975669099756686
cancer,6,unweighted ensemble,0.8613138686131386,0.13906326906597521,0.23205537762817335,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.5835202915494886,0.5102715420755045,0.405166,264,0.04379562043795615,0.09975669099756686
cancer,6,weighted ensemble,0.8394160583941606,0.11336412933713262,0.1588667551906413,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.5835202915494886,0.5102715420755045,0.405084,264,0.04379562043795615,0.09975669099756686
cancer,6,hard transfer,0.8029197080291971,0.1441695369408177,0.15201360186525353,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.5835202915494886,0.5102715420755045,0.004417,56,0.04379562043795615,0.09975669099756686
cancer,6,FedDF,0.8175182481751825,0.15694791412904666,0.240119965019186,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.5835202915494886,0.5102715420755045,0.00425,56,0.04379562043795615,0.09975669099756686
cancer,6,FedMD-1r,0.8978102189781022,0.11209736777644634,0.2390448976735179,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.5835202915494886,0.5102715420755045,0.399,264,0.04379562043795615,0.09975669099756686
cancer,6,FedMD-2r,0.9562043795620438,0.09534409720693969,0.2276713543891219,137,295,0.24,137,3,severe,0.55,64,2,6576,3,0.5835202915494886,0.5102715420755045,0.411625,264,0.04379562043795615,0.09975669099756686
cancer,6,FedMD,0.948905109489051,0.08654874688479403,0.2034277991114133,137,295,0.24,137,3,severe,0.55,64,3,9864,3,0.5835202915494886,0.5102715420755045,0.415375,264,0.04379562043795615,0.09975669099756686
cancer,6,centralized reference,0.9562043795620438,0.03984819238496747,0.05368944810914813,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.5835202915494886,0.5102715420755045,0.0045,56,0.04379562043795615,0.09975669099756686
cancer,7,best local,0.9635036496350365,0.03547267228132419,0.0635866679128354,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6143123473676133,0.49832878664995456,0.193834,104,0.02919708029197088,0.12895377128953778
cancer,7,unweighted ensemble,0.9562043795620438,0.08284706937225628,0.21982862765057368,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6143123473676133,0.49832878664995456,0.402792,264,0.02919708029197088,0.12895377128953778
