dataset,seed,method,accuracy,brier,ece,public_size,private_size,public_fraction,test_size,clients,noniid,noise_lambda,shots,rounds,bytes,inference_models,membership_auc,membership_null_auc,inference_ms,parameter_bytes,min_client_contribution,mean_client_contribution
cancer,2,weighted ensemble,0.9635036496350365,0.03764789734764909,0.07769673646358165,137,295,0.24,137,3,iid,0.0,64,1,3288,3,0.5264826125097241,0.49626334350004836,0.391792,264,0.0,0.0
cancer,2,hard transfer,0.948905109489051,0.04375025121105718,0.042022488475779954,137,295,0.24,137,3,iid,0.0,64,1,3288,1,0.5264826125097241,0.49626334350004836,0.004208,56,0.0,0.0
cancer,2,FedDF,0.9562043795620438,0.05221944717292882,0.08935400457571147,137,295,0.24,137,3,iid,0.0,64,1,3288,1,0.5264826125097241,0.49626334350004836,0.004125,56,0.0,0.0
cancer,2,FedMD-1r,0.9635036496350365,0.043473102188398456,0.08705738360820862,137,295,0.24,137,3,iid,0.0,64,1,3288,3,0.5264826125097241,0.49626334350004836,0.405584,264,0.0,0.0
cancer,2,FedMD-2r,0.9635036496350365,0.04545870988599069,0.09439331772750668,137,295,0.24,137,3,iid,0.0,64,2,6576,3,0.5264826125097241,0.49626334350004836,0.404667,264,0.0,0.0
cancer,2,FedMD,0.9562043795620438,0.0463089725568039,0.09018331270686407,137,295,0.24,137,3,iid,0.0,64,3,9864,3,0.5264826125097241,0.49626334350004836,0.398041,264,0.0,0.0
cancer,2,centralized reference,0.9562043795620438,0.041633864297022,0.051598764593346357,137,295,0.24,137,3,iid,0.0,64,0,0,1,0.5264826125097241,0.49626334350004836,0.00425,56,0.0,0.0
cancer,3,best local,0.927007299270073,0.04911509623447864,0.06424709243712645,137,295,0.24,137,3,iid,0.0,64,0,0,1,0.5588929666093378,0.48688533881443163,0.202042,104,-0.014598540145985384,-0.0024330900243308973
cancer,3,unweighted ensemble,0.9343065693430657,0.0475770424338771,0.07254054588695044,137,295,0.24,137,3,iid,0.0,64,1,3288,3,0.5588929666093378,0.48688533881443163,0.410542,264,-0.014598540145985384,-0.0024330900243308973
cancer,3,weighted ensemble,0.9416058394160584,0.047528462488483324,0.07343299471786073,137,295,0.24,137,3,iid,0.0,64,1,3288,3,0.5588929666093378,0.48688533881443163,0.402875,264,-0.014598540145985384,-0.0024330900243308973
cancer,3,hard transfer,0.9124087591240876,0.05452372909621527,0.05117615734308533,137,295,0.24,137,3,iid,0.0,64,1,3288,1,0.5588929666093378,0.48688533881443163,0.004667,56,-0.014598540145985384,-0.0024330900243308973
cancer,3,FedDF,0.927007299270073,0.055627351238951364,0.09874057642306784,137,295,0.24,137,3,iid,0.0,64,1,3288,1,0.5588929666093378,0.48688533881443163,0.0045,56,-0.014598540145985384,-0.0024330900243308973
cancer,3,FedMD-1r,0.9343065693430657,0.050521602584392686,0.0820994108419581,137,295,0.24,137,3,iid,0.0,64,1,3288,3,0.5588929666093378,0.48688533881443163,0.415041,264,-0.014598540145985384,-0.0024330900243308973
cancer,3,FedMD-2r,0.9343065693430657,0.05179741207169167,0.08658284483280468,137,295,0.24,137,3,iid,0.0,64,2,6576,3,0.5588929666093378,0.48688533881443163,0.396292,264,-0.014598540145985384,-0.0024330900243308973
cancer,3,FedMD,0.9343065693430657,0.0523645286566354,0.0890225662264778,137,295,0.24,137,3,iid,0.0,64,3,9864,3,0.5588929666093378,0.48688533881443163,0.399833,264,-0.014598540145985384,-0.0024330900243308973
cancer,3,centralized reference,0.9197080291970803,0.04734630525519162,0.07091834894817378,137,295,0.24,137,3,iid,0.0,64,0,0,1,0.5588929666093378,0.48688533881443163,0.004542,56,-0.014598540145985384,-0.0024330900243308973
cancer,0,best local,0.9416058394160584,0.053939303387397046,0.05565894679490793,205,227,0.36,137,3,iid,0.0,64,0,0,1,0.4691027446962906,0.45988987066205667,0.19575,104,0.0,0.007299270072992692
cancer,0,unweighted ensemble,0.9416058394160584,0.04500502263590016,0.06942264888745238,205,227,0.36,137,3,iid,0.0,64,1,4920,3,0.4691027446962906,0.45988987066205667,0.412,264,0.0,0.007299270072992692
cancer,0,weighted ensemble,0.9416058394160584,0.04546719272044458,0.06948837792122622,205,227,0.36,137,3,iid,0.0,64,1,4920,3,0.4691027446962906,0.45988987066205667,0.410958,264,0.0,0.007299270072992692
cancer,0,hard transfer,0.9343065693430657,0.04252458235255403,0.0660480721136923,205,227,0.36,137,3,iid,0.0,64,1,4920,1,0.4691027446962906,0.45988987066205667,0.004375,56,0.0,0.007299270072992692
cancer,0,FedDF,0.927007299270073,0.051985616001249894,0.10788903247508878,205,227,0.36,137,3,iid,0.0,64,1,4920,1,0.4691027446962906,0.45988987066205667,0.004208,56,0.0,0.007299270072992692
cancer,0,FedMD-1r,0.9343065693430657,0.04924977903929818,0.1024928608446157,205,227,0.36,137,3,iid,0.0,64,1,4920,3,0.4691027446962906,0.45988987066205667,0.399791,264,0.0,0.007299270072992692
cancer,0,FedMD-2r,0.9343065693430657,0.0511982748500719,0.1063528458147436,205,227,0.36,137,3,iid,0.0,64,2,9840,3,0.4691027446962906,0.45988987066205667,0.407583,264,0.0,0.007299270072992692
cancer,0,FedMD,0.9343065693430657,0.05204390715510865,0.10622492434019938,205,227,0.36,137,3,iid,0.0,64,3,14760,3,0.4691027446962906,0.45988987066205667,0.4175,264,0.0,0.007299270072992692
cancer,0,centralized reference,0.927007299270073,0.03864666525030401,0.06789019391482647,205,227,0.36,137,3,iid,0.0,64,0,0,1,0.4691027446962906,0.45988987066205667,0.004667,56,0.0,0.007299270072992692
cancer,1,best local,0.9343065693430657,0.0551292848279734,0.047266953707568976,205,227,0.36,137,3,iid,0.0,64,0,0,1,0.4919865966619712,0.49757416655995224,0.004458,56,-0.014598540145985495,0.0024330900243308604
cancer,1,unweighted ensemble,0.948905109489051,0.04688620161774615,0.06256719841973399,205,227,0.36,137,3,iid,0.0,64,1,4920,3,0.4919865966619712,0.49757416655995224,0.402917,264,-0.014598540145985495,0.0024330900243308604
cancer,1,weighted ensemble,0.9416058394160584,0.04744369012471915,0.061658198204187255,205,227,0.36,137,3,iid,0.0,64,1,4920,3,0.4919865966619712,0.49757416655995224,0.409417,264,-0.014598540145985495,0.0024330900243308604
cancer,1,hard transfer,0.9416058394160584,0.0488666093060512,0.03131363978901466,205,227,0.36,137,3,iid,0.0,64,1,4920,1,0.4919865966619712,0.49757416655995224,0.004625,56,-0.014598540145985495,0.0024330900243308604
cancer,1,FedDF,0.9343065693430657,0.05839724125384301,0.08434502537845522,205,227,0.36,137,3,iid,0.0,64,1,4920,1,0.4919865966619712,0.49757416655995224,0.004667,56,-0.014598540145985495,0.0024330900243308604
cancer,1,FedMD-1r,0.948905109489051,0.04948482525065747,0.081017021627473,205,227,0.36,137,3,iid,0.0,64,1,4920,3,0.4919865966619712,0.49757416655995224,0.412292,264,-0.014598540145985495,0.0024330900243308604
cancer,1,FedMD-2r,0.948905109489051,0.050615401944866446,0.08884208316442808,205,227,0.36,137,3,iid,0.0,64,2,9840,3,0.4919865966619712,0.49757416655995224,0.403333,264,-0.014598540145985495,0.0024330900243308604
cancer,1,FedMD,0.948905109489051,0.051103095336644214,0.09111047819106644,205,227,0.36,137,3,iid,0.0,64,3,14760,3,0.4919865966619712,0.49757416655995224,0.403125,264,-0.014598540145985495,0.0024330900243308604
cancer,1,centralized reference,0.9343065693430657,0.046840236568473935,0.05037825512693395,205,227,0.36,137,3,iid,0.0,64,0,0,1,0.4919865966619712,0.49757416655995224,0.004542,56,-0.014598540145985495,0.0024330900243308604
cancer,2,best local,0.948905109489051,0.05091988827472371,0.06825156372588963,205,227,0.36,137,3,iid,0.0,64,0,0,1,0.5498104750928416,0.5056443419985487,0.00425,56,0.007299270072992692,0.007299270072992692
cancer,2,unweighted ensemble,0.948905109489051,0.045965661580160674,0.07179137252953413,205,227,0.36,137,3,iid,0.0,64,1,4920,3,0.5498104750928416,0.5056443419985487,0.402542,264,0.007299270072992692,0.007299270072992692
cancer,2,weighted ensemble,0.948905109489051,0.04591143843090055,0.0676673776422302,205,227,0.36,137,3,iid,0.0,64,1,4920,3,0.5498104750928416,0.5056443419985487,0.398958,264,0.007299270072992692,0.007299270072992692
cancer,2,hard transfer,0.9343065693430657,0.04982334061669186,0.07195210518961856,205,227,0.36,137,3,iid,0.0,64,1,4920,1,0.5498104750928416,0.5056443419985487,0.004417,56,0.007299270072992692,0.007299270072992692
cancer,2,FedDF,0.9416058394160584,0.0616453403668945,0.09885755991461465,205,227,0.36,137,3,iid,0.0,64,1,4920,1,0.5498104750928416,0.5056443419985487,0.00425,56,0.007299270072992692,0.007299270072992692
cancer,2,FedMD-1r,0.9416058394160584,0.05358073493083388,0.10118529457532952,205,227,0.36,137,3,iid,0.0,64,1,4920,3,0.5498104750928416,0.5056443419985487,0.399875,264,0.007299270072992692,0.007299270072992692
cancer,2,FedMD-2r,0.9343065693430657,0.05573358998043511,0.10759804746569328,205,227,0.36,137,3,iid,0.0,64,2,9840,3,0.5498104750928416,0.5056443419985487,0.4055,264,0.007299270072992692,0.007299270072992692
cancer,2,FedMD,0.9343065693430657,0.05638761222875669,0.10991449927543154,205,227,0.36,137,3,iid,0.0,64,3,14760,3,0.5498104750928416,0.5056443419985487,0.41275,264,0.007299270072992692,0.007299270072992692
cancer,2,centralized reference,0.9562043795620438,0.0436705225332632,0.06309340788306798,205,227,0.36,137,3,iid,0.0,64,0,0,1,0.5498104750928416,0.5056443419985487,0.004333,56,0.007299270072992692,0.007299270072992692
cancer,3,best local,0.8978102189781022,0.07868060946952717,0.06173584081374577,205,227,0.36,137,3,iid,0.0,64,0,0,1,0.5654006061382165,0.4743441328381781,0.196958,104,-0.007299270072992692,0.0
cancer,3,unweighted ensemble,0.9124087591240876,0.06195016585738576,0.06376198617587409,205,227,0.36,137,3,iid,0.0,64,1,4920,3,0.5654006061382165,0.4743441328381781,0.403959,264,-0.007299270072992692,0.0
cancer,3,weighted ensemble,0.9124087591240876,0.061814132761069326,0.07496846514940231,205,227,0.36,137,3,iid,0.0,64,1,4920,3,0.5654006061382165,0.4743441328381781,0.394666,264,-0.007299270072992692,0.0
cancer,3,hard transfer,0.9343065693430657,0.05529821364780732,0.07742452395150731,205,227,0.36,137,3,iid,0.0,64,1,4920,1,0.5654006061382165,0.4743441328381781,0.004333,56,-0.007299270072992692,0.0
cancer,3,FedDF,0.8905109489051095,0.06996626266010186,0.12100452032695087,205,227,0.36,137,3,iid,0.0,64,1,4920,1,0.5654006061382165,0.4743441328381781,0.004416,56,-0.007299270072992692,0.0
cancer,3,FedMD-1r,0.9197080291970803,0.06522947453899729,0.09652214579358512,205,227,0.36,137,3,iid,0.0,64,1,4920,3,0.5654006061382165,0.4743441328381781,0.409167,264,-0.007299270072992692,0.0
cancer,3,FedMD-2r,0.9124087591240876,0.06704728982677574,0.0891638724054807,205,227,0.36,137,3,iid,0.0,64,2,9840,3,0.5654006061382165,0.4743441328381781,0.40275,264,-0.007299270072992692,0.0
cancer,3,FedMD,0.9124087591240876,0.06766327569799861,0.09104466295357568,205,227,0.36,137,3,iid,0.0,64,3,14760,3,0.5654006061382165,0.4743441328381781,0.410833,264,-0.007299270072992692,0.0
cancer,3,centralized reference,0.9416058394160584,0.04808867881636318,0.07477241219409166,205,227,0.36,137,3,iid,0.0,64,0,0,1,0.5654006061382165,0.4743441328381781,0.004667,56,-0.007299270072992692,0.0
cancer,0,best local,0.9416058394160584,0.03783690351553312,0.07267946348023818,68,364,0.12,137,3,iid,0.45,64,0,0,1,0.4946116665034938,0.5119940361109984,0.196208,104,-0.014598540145985384,-0.0024330900243308973
cancer,0,unweighted ensemble,0.9343065693430657,0.04154003980847948,0.10089844446087728,68,364,0.12,137,3,iid,0.45,64,1,1632,3,0.4946116665034938,0.5119940361109984,0.4015,264,-0.014598540145985384,-0.0024330900243308973
cancer,0,weighted ensemble,0.927007299270073,0.039590221804701245,0.09726399976049796,68,364,0.12,137,3,iid,0.45,64,1,1632,3,0.4946116665034938,0.5119940361109984,0.409208,264,-0.014598540145985384,-0.0024330900243308973
cancer,0,hard transfer,0.9343065693430657,0.039680485477730204,0.05827833303152328,68,364,0.12,137,3,iid,0.45,64,1,1632,1,0.4946116665034938,0.5119940361109984,0.004583,56,-0.014598540145985384,-0.0024330900243308973
