n,seed,context,policy,action,utility,deadline_miss,infeasible
12,8,8,utility-only,local-sim,-0.1131386508879134,0,0
12,8,8,logged-IPW,local-sim,-0.1131386508879134,0,0
12,8,8,LinUCB,local-sim,-0.1131386508879134,0,0
12,8,8,Pareto,local-sim,-0.1131386508879134,0,0
12,8,8,oracle,local-sim,-0.1131386508879134,0,0
12,8,8,train-selected fixed,local-sim,-0.1131386508879134,0,0
12,8,8,always invoke-QPU,invoke-QPU,-0.1525073126867159,0,0
12,8,8,always remote-sim,remote-sim,-0.2236245040906971,0,0
12,8,8,always local-sim,local-sim,-0.1131386508879134,0,0
12,8,8,always fallback,fallback,-0.21554506860802222,0,0
12,8,9,P1,local-sim,-0.10119797811118098,0,0
12,8,9,utility-only,local-sim,-0.10119797811118098,0,0
12,8,9,logged-IPW,local-sim,-0.10119797811118098,0,0
12,8,9,LinUCB,local-sim,-0.10119797811118098,0,0
12,8,9,Pareto,local-sim,-0.10119797811118098,0,0
12,8,9,oracle,local-sim,-0.10119797811118098,0,0
12,8,9,train-selected fixed,local-sim,-0.10119797811118098,0,0
12,8,9,always invoke-QPU,invoke-QPU,-0.1405569992130646,0,0
12,8,9,always remote-sim,remote-sim,-0.23270461123598518,0,0
12,8,9,always local-sim,local-sim,-0.10119797811118098,0,0
12,8,9,always fallback,fallback,-0.2027273717218229,0,0
12,8,10,P1,local-sim,-0.11351264557616816,0,0
12,8,10,utility-only,local-sim,-0.11351264557616816,0,0
12,8,10,logged-IPW,local-sim,-0.11351264557616816,0,0
12,8,10,LinUCB,local-sim,-0.11351264557616816,0,0
12,8,10,Pareto,local-sim,-0.11351264557616816,0,0
12,8,10,oracle,local-sim,-0.11351264557616816,0,0
12,8,10,train-selected fixed,local-sim,-0.11351264557616816,0,0
12,8,10,always invoke-QPU,invoke-QPU,-0.24974062948532622,0,0
12,8,10,always remote-sim,remote-sim,-0.270411827539611,0,0
12,8,10,always local-sim,local-sim,-0.11351264557616816,0,0
12,8,10,always fallback,fallback,-0.19659564724389555,0,0
12,8,11,P1,local-sim,-0.11141899250709951,0,0
12,8,11,utility-only,local-sim,-0.11141899250709951,0,0
12,8,11,logged-IPW,local-sim,-0.11141899250709951,0,0
12,8,11,LinUCB,remote-sim,-0.13857736961992562,0,0
12,8,11,Pareto,local-sim,-0.11141899250709951,0,0
12,8,11,oracle,local-sim,-0.11141899250709951,0,0
12,8,11,train-selected fixed,local-sim,-0.11141899250709951,0,0
12,8,11,always invoke-QPU,invoke-QPU,-0.16894452492641,0,0
12,8,11,always remote-sim,remote-sim,-0.13857736961992562,0,0
12,8,11,always local-sim,local-sim,-0.11141899250709951,0,0
12,8,11,always fallback,fallback,-0.20313688298972177,0,0
12,8,12,P1,local-sim,-0.11917399665654191,0,0
12,8,12,utility-only,local-sim,-0.11917399665654191,0,0
12,8,12,logged-IPW,local-sim,-0.11917399665654191,0,0
12,8,12,LinUCB,local-sim,-0.11917399665654191,0,0
12,8,12,Pareto,local-sim,-0.11917399665654191,0,0
12,8,12,oracle,local-sim,-0.11917399665654191,0,0
