Timestamp,prb_mean_pct,prb_p95_pct,traffic_total_kbyte,users_total,cells,minute
00:00,17.96583333,46.12850000,123755818.90000001,433.16000000,12,0
00:30,12.35333333,21.61250000,64269159.47000000,369.58000000,12,30
01:00,11.31333333,23.79200000,72898604.47000000,320.01000000,12,60
01:30,14.67333333,45.87150000,141943027.47000000,274.48000000,12,90
02:00,12.05000000,32.69700000,100100818.83000000,247.99000000,12,120
02:30,8.19500000,14.56750000,35405667.12000000,229.80000000,12,150
03:00,3.14000000,4.72150000,1745101.27000000,23.60000000,12,180
03:30,0.00000000,0.00000000,0.00000000,0.00000000,12,210
04:00,0.00000000,0.00000000,0.00000000,0.00000000,12,240
04:30,0.00000000,0.00000000,0.00000000,0.00000000,12,270
05:00,6.47916667,9.60400000,9195141.04000000,168.37000000,12,300
05:30,6.65583333,9.94100000,11000528.16000000,209.72000000,12,330
06:00,7.36333333,11.39200000,17695400.89000000,240.97000000,12,360
06:30,7.62583333,12.40550000,19077720.43000000,291.57000000,12,390
07:00,10.76500000,24.84950000,54214245.07000000,385.77000000,12,420
07:30,12.80333333,30.09850000,88352531.09000000,460.90000000,12,450
08:00,9.59666667,14.71950000,34890651.71000000,469.00000000,12,480
08:30,19.65583333,58.73300000,180280063.03999999,484.42000000,12,510
09:00,27.47083333,80.91500000,301660547.67000002,523.91000000,12,540
09:30,38.63666667,92.36900000,409765672.94999999,540.38000000,12,570
10:00,45.31583333,93.92450000,530082637.19000000,542.92000000,12,600
10:30,44.30333333,96.96050000,472927172.15000004,551.30000000,12,630
11:00,50.55333333,95.85900000,537129725.12000000,552.70000000,12,660
11:30,46.54500000,97.19900000,506285125.17000002,583.62000000,12,690
12:00,42.80916667,98.06950000,434782932.33000004,593.31000000,12,720
12:30,43.23500000,91.77150000,475714402.87000000,562.10000000,12,750
13:00,34.91500000,90.84700000,324862936.26999998,514.01000000,12,780
13:30,32.28166667,91.09200000,328959874.63000000,468.88000000,12,810
14:00,40.76583333,96.44800000,490078952.63999999,467.61000000,12,840
14:30,45.92333333,90.93450000,521853382.62000000,457.31000000,12,870
15:00,46.63916667,93.16800000,488744890.32999998,447.74000000,12,900
15:30,45.44250000,91.63300000,494381419.80000001,464.32000000,12,930
16:00,45.78583333,94.16250000,483517217.19999999,492.18000000,12,960
16:30,49.45750000,93.18600000,544311728.34000003,512.80000000,12,990
17:00,40.01500000,85.90250000,459439292.50999999,562.66000000,12,1020
17:30,37.88416667,77.09400000,406761070.91999996,654.36000000,12,1050
18:00,43.50583333,87.40800000,444837067.47000003,685.37000000,12,1080
18:30,42.48833333,87.47900000,429146822.56999999,684.97000000,12,1110
19:00,36.22500000,74.90250000,378838854.06000000,699.56000000,12,1140
19:30,35.48250000,72.95800000,357376166.16000003,691.55000000,12,1170
20:00,39.21250000,91.29500000,398316874.73000002,695.12000000,12,1200
20:30,39.90916667,80.48500000,365938048.57999998,662.15000000,12,1230
21:00,35.32500000,73.34500000,268651076.55000001,616.93000000,12,1260
21:30,27.71916667,66.28700000,201918533.03000000,568.43000000,12,1290
22:00,19.10916667,44.87650000,155900316.41999999,536.31000000,12,1320
22:30,18.58083333,46.69800000,153592367.52000001,511.68000000,12,1350
23:00,17.53666667,45.04100000,132001677.32000001,470.98000000,12,1380
23:30,11.41416667,21.11350000,48348663.16000000,427.49000000,12,1410
