Base Station ID,Cell ID,Timestamp,prb_pct,traffic_kbyte,users,minute
12326,12326-1,17:00,6.08000000,411526.17000000,5.51000000,1020
12326,12326-1,17:30,6.96000000,1245027.51000000,5.94000000,1050
12326,12326-1,18:00,6.46000000,740430.07000000,5.72000000,1080
12326,12326-1,18:30,7.13000000,1405281.56000000,6.34000000,1110
12326,12326-1,19:00,6.38000000,868216.25000000,4.88000000,1140
12326,12326-1,19:30,6.00000000,601094.33000000,5.42000000,1170
12326,12326-1,20:00,6.10000000,484380.05000000,6.77000000,1200
12326,12326-1,20:30,5.90000000,389869.43000000,6.85000000,1230
12326,12326-1,21:00,7.45000000,1334342.05000000,8.01000000,1260
12326,12326-1,21:30,6.16000000,604823.92000000,9.06000000,1290
12326,12326-1,22:00,7.74000000,1437234.18000000,11.79000000,1320
12326,12326-1,22:30,7.12000000,1656157.35000000,11.39000000,1350
12326,12326-1,23:00,6.50000000,1003092.29000000,9.31000000,1380
12326,12326-1,23:30,6.46000000,1020016.98000000,8.31000000,1410
12326,12326-2,00:00,26.42000000,14784571.20000000,76.54000000,0
12326,12326-2,00:30,24.28000000,14211390.84000000,63.04000000,30
12326,12326-2,01:00,15.17000000,8580691.15000000,51.85000000,60
12326,12326-2,01:30,12.27000000,7446965.80000000,40.37000000,90
12326,12326-2,02:00,12.69000000,8790439.17000000,34.83000000,120
12326,12326-2,02:30,9.78000000,5606786.42000000,29.97000000,150
12326,12326-2,03:00,3.48000000,356365.20000000,3.01000000,180
12326,12326-2,03:30,0.00000000,0.00000000,0.00000000,210
12326,12326-2,04:00,0.00000000,0.00000000,0.00000000,240
12326,12326-2,04:30,0.00000000,0.00000000,0.00000000,270
12326,12326-2,05:00,6.74000000,1558291.36000000,10.49000000,300
12326,12326-2,05:30,6.58000000,1429110.38000000,11.77000000,330
12326,12326-2,06:00,6.83000000,1611241.47000000,11.26000000,360
12326,12326-2,06:30,6.27000000,1073661.60000000,19.61000000,390
12326,12326-2,07:00,7.17000000,1813765.00000000,33.66000000,420
12326,12326-2,07:30,10.54000000,5617931.72000000,41.36000000,450
12326,12326-2,08:00,9.27000000,3741677.20000000,38.11000000,480
12326,12326-2,08:30,10.60000000,4948024.42000000,34.30000000,510
12326,12326-2,09:00,11.84000000,6519664.57000000,37.19000000,540
12326,12326-2,09:30,13.90000000,8394153.18000000,40.40000000,570
12326,12326-2,10:00,12.87000000,6814839.43000000,33.94000000,600
12326,12326-2,10:30,13.51000000,7595188.47000000,32.64000000,630
12326,12326-2,11:00,12.25000000,6384689.67000000,30.99000000,660
12326,12326-2,11:30,15.11000000,7880188.83000000,41.23000000,690
12326,12326-2,12:00,15.85000000,8384548.98000000,51.42000000,720
12326,12326-2,12:30,19.57000000,11163714.62000000,56.01000000,750
12326,12326-2,13:00,15.95000000,9748387.93000000,49.50000000,780
12326,12326-2,13:30,13.20000000,7282587.70000000,38.44000000,810
12326,12326-2,14:00,13.41000000,7434823.30000000,36.28000000,840
12326,12326-2,14:30,12.92000000,7078480.81000000,32.87000000,870
12326,12326-2,15:00,11.14000000,5814650.75000000,29.61000000,900
